,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,year,Player1,Player2,Won,RankDiff,PtsDiff,OddsDiff,MaxOddsDiff,WeightedRndDiff,RoundDiff
47075,2,Chennai,Chennai Open,2017-01-06 00:00:00,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Kovalik J.,99,117,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.36,3.0,,,1.4,2.5,1.44,3.06,611,501,,,1.4,2.75,,,1.5,3.06,1.41,2.86,2017,Medvedev D.,Kovalik J.,1,18,110,-1.45,-1.56,0,0
47076,2,Chennai,Chennai Open,2017-01-06 00:00:00,ATP250,Outdoor,Hard,Quarterfinals,3,Sela D.,Ramos-Vinolas A.,96,27,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2.62,1.44,,,2.6,1.38,2.65,1.56,616,1435,,,2.5,1.5,,,2.85,1.56,2.63,1.47,2017,Sela D.,Ramos-Vinolas A.,1,-69,-819,1.16,1.29,0,0
47077,2,Chennai,Chennai Open,2017-01-06 00:00:00,ATP250,Outdoor,Hard,Quarterfinals,3,Paire B.,Bedene A.,47,101,6.0,3.0,6.0,0.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.57,2.25,,,1.58,2.1,1.73,2.26,960,592,,,1.62,2.2,,,1.74,2.33,1.66,2.19,2017,Bedene A.,Paire B.,0,-54,-368,0.53,0.5900000000000001,0,0
47078,2,Chennai,Chennai Open,2017-01-06 00:00:00,ATP250,Outdoor,Hard,Quarterfinals,3,Bautista Agut R.,Youzhny M.,14,57,2.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,,,,,,,,,1.22,4.0,,,1.22,3.3,1.26,4.4,2350,826,,,1.25,3.75,,,1.3,4.4,1.24,3.94,2017,Youzhny M.,Bautista Agut R.,0,-43,-1524,2.7,3.1000000000000005,0,0
47079,2,Chennai,Chennai Open,2017-01-07 00:00:00,ATP250,Outdoor,Hard,Semifinals,3,Medvedev D.,Sela D.,99,96,4.0,6.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,,,,,,,,,1.61,2.3,,,1.52,2.25,1.68,2.35,611,616,,,1.62,2.2,,,1.72,2.35,1.64,2.23,2017,Medvedev D.,Sela D.,1,-3,-5,-0.5900000000000001,-0.6300000000000001,0,0
47080,2,Chennai,Chennai Open,2017-01-07 00:00:00,ATP250,Outdoor,Hard,Semifinals,3,Bautista Agut R.,Paire B.,14,47,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.44,2.75,,,1.42,2.5,1.46,2.99,2350,960,,,1.4,2.75,,,1.52,2.99,1.45,2.71,2017,Paire B.,Bautista Agut R.,0,-33,-1390,1.26,1.4700000000000002,0,0
47081,2,Chennai,Chennai Open,2017-01-08 00:00:00,ATP250,Outdoor,Hard,The Final,3,Bautista Agut R.,Medvedev D.,14,99,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.28,3.75,,,1.33,2.85,1.3,4.0,2350,611,,,1.33,3.4,,,1.35,4.0,1.29,3.62,2017,Medvedev D.,Bautista Agut R.,0,-85,-1739,2.33,2.65,0,0
47082,3,Doha,Qatar Exxon Mobil Open,2017-01-02 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Brown D.,Bagnis F.,72,56,6.0,1.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,,,,,,,,,1.36,3.0,,,1.3,3.0,1.41,3.14,710,835,,,1.33,3.4,,,1.41,3.4,1.36,3.1,2017,Brown D.,Bagnis F.,1,-16,-125,-1.74,-1.99,0,0
47083,3,Doha,Qatar Exxon Mobil Open,2017-01-02 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Vesely J.,Yuksel A.,55,507,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.05,10.0,,,1.06,6.25,1.06,11.37,848,73,,,1.1,7.0,,,1.1,11.37,1.07,8.57,2017,Vesely J.,Yuksel A.,1,452,775,-7.5,-10.27,0,0
47084,3,Doha,Qatar Exxon Mobil Open,2017-01-02 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Almagro N.,Lorenzi P.,44,40,7.0,6.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,,,,,,,,,1.66,2.1,,,1.62,2.05,1.67,2.33,1013,1090,,,1.8,2.0,,,1.8,2.33,1.68,2.14,2017,Lorenzi P.,Almagro N.,0,4,77,0.4600000000000002,0.53,0,0
